Entity,Code,Year,Agree "Most people can be trusted"
Albania,ALB,1998,24.32433
Albania,ALB,2004,23.2
Algeria,DZA,2004,10.76443
Algeria,DZA,2014,17.92863
Andorra,AND,2009,20.66199
Andorra,AND,2022,25.57442
Argentina,ARG,1984,26.09649
Argentina,ARG,1993,22.35529
Argentina,ARG,1998,17.14551
Argentina,ARG,2004,15.46875
Argentina,ARG,2009,16.63327
Argentina,ARG,2014,22.64706
Argentina,ARG,2022,19.799
Armenia,ARM,1998,23.5
Armenia,ARM,2014,10.01821
Armenia,ARM,2022,8.101473
Australia,AUS,1984,48.19176
Australia,AUS,1998,39.59961
Australia,AUS,2009,48.18247
Australia,AUS,2014,54.43383
Australia,AUS,2022,54.01786
Azerbaijan,AZE,1998,19.43057
Azerbaijan,AZE,2014,16.16766
Bangladesh,BGD,1998,20.45901
Bangladesh,BGD,2004,23.26667
Bangladesh,BGD,2022,12.91667
Belarus,BLR,1993,25.02463
Belarus,BLR,1998,22.99235
Belarus,BLR,2014,32.80737
Bolivia,BOL,2022,8.535402
Bosnia and Herzegovina,BIH,1998,26.91667
Bosnia and Herzegovina,BIH,2004,15.58333
Brazil,BRA,1993,6.397306
Brazil,BRA,1998,2.79965
Brazil,BRA,2009,9.201624
Brazil,BRA,2014,6.527591
Brazil,BRA,2022,6.545248
Bulgaria,BGR,1998,23.69403
Bulgaria,BGR,2009,19.43888
Burkina Faso,BFA,2009,14.35342
Canada,CAN,1984,47.04944
Canada,CAN,1993,51.38889
Canada,CAN,2004,36.69439
Canada,CAN,2009,41.11111
Canada,CAN,2022,49.50224
Chile,CHL,1993,22.06667
Chile,CHL,1998,20.9
Chile,CHL,2004,22.41667
Chile,CHL,2009,12.29839
Chile,CHL,2014,12.64016
Chile,CHL,2022,13.94183
China,CHN,1993,59.45946
China,CHN,1998,50.4
China,CHN,2004,54.46058
China,CHN,2009,49.08815
China,CHN,2014,62.69384
China,CHN,2022,65.43703
Colombia,COL,1998,10.72199
Colombia,COL,2009,14.31405
Colombia,COL,2014,4.12783
Colombia,COL,2022,4.539474
Croatia,HRV,1998,22.82609
Cyprus,CYP,2009,12.82546
Cyprus,CYP,2014,9.027081
Cyprus,CYP,2022,7.962771
Czechia,CZE,1993,30.22752
Czechia,CZE,1998,28.5192
Czechia,CZE,2022,37
Dominican Republic,DOM,1998,25.17986
Ecuador,ECU,2014,7.160699
Ecuador,ECU,2022,5.774058
Egypt,EGY,2004,37.46667
Egypt,EGY,2009,18.39948
Egypt,EGY,2014,20.55154
Egypt,EGY,2022,7.333333
El Salvador,SLV,1998,14.11483
Estonia,EST,1998,21.05779
Estonia,EST,2014,38.51175
Ethiopia,ETH,2009,22.52632
Ethiopia,ETH,2022,11.86992
Finland,FIN,1984,57.17192
Finland,FIN,1998,47.923
Finland,FIN,2009,57.98817
France,FRA,2009,18.65597
Georgia,GEO,1998,17.67928
Georgia,GEO,2009,17.65886
