Territorial emissions in MtCO₂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte d'Ivoire,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of South Sudan,Romania,Russian Federation,Rwanda,Réunion,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2011,11.8383,5.3147,119.8075,0.49098,30.3297,0.1429,0.44334,190.2738,4.9689,2.4988,403.8288,69.8931,32.9757,2.1141,28.4676,56.5563,1.5165,61.3076,105.0201,0.55326,4.4797,0.44334,0.66743,17.0765,0.074053,23.7613,4.0288,462.58,0.20152,9.5447,53.1748,2.1309,0.35414,5.2747,6.5205,567.0541,0.61555,,0.18686,1.2905,78.0644,9528.5557,76.0798,0.1429,2.2398,0.07328,7.3108,20.6496,29.4311,5.129,7.7894,115.1858,6.3424,2.4395,44.2481,0.47266,0.15389,21.3179,37.3984,213.0266,6.4994,9.4311,0.55583,18.9842,7.4025,0.56792,,1.0149,56.6372,354.6025,0.71183,0.88669,4.9302,0.44334,7.8045,808.9115,11.226,,94.5052,0.72533,0.25282,2.5037,11.2373,2.5941,0.24182,1.9602,2.2729,8.8603,43.1497,50.1913,3.4942,1778.4725,504.8002,577.3363,135.2741,38.0564,68.5947,424.2563,8.2556,1265.0349,21.2438,237.034,12.9283,0.05496,8.3136,86.2627,7.5535,3.1701,7.8108,20.2641,3.0631,0.84805,49.2124,0.17678,14.2928,11.103,1.4636,2.3739,1.1402,216.9935,0.98562,2.279,2.5772,0.13923,2.295,2.1544,3.9168,484.1648,0.11725,4.945,21.3679,2.4072,0.03664,54.8676,3.1066,15.039,2.7821,0.040304,5.2204,168.2597,3.5397,34.2659,4.8059,1.3223,129.5687,0.007328,36.1859,9.1966,44.791,2.246,55.1025,154.6509,0.21618,9.9529,5.2249,5.1987,48.9241,83.7425,334.3372,51.8016,79.6477,1.2812,91.7545,1679.2784,0.64702,4.4837,0.010992,0.23083,0.48731,0.065952,0.21618,0.19053,0.098928,497.659,7.8188,48.9571,0.4067,0.71082,31.2063,37.9848,16.3586,0.34442,0.61189,465.7747,623.4428,285.1323,14.8862,14.0169,2.4473,1.0076,49.4052,40.9852,57.7847,276.283,2.3407,7.7515,258.9786,0.39571,2.5039,0.10259,46.6801,25.526,341.8623,62.1829,0.28213,0.010992,3.8241,307.9561,192.9913,469.7133,5546.629,7.6526,113.2835,0.1319,175.945,151.227,0.025648,,20.1902,3.3724,10.3632
2012,10.0353,4.8501,135.6743,0.48731,25.54,0.1429,0.458,191.2921,5.7483,1.3484,406.1509,67.2659,32.7733,2.312,27.119,60.7078,1.4591,62.5453,102.3556,0.45067,4.4025,0.3664,0.77272,17.7659,0.084272,22.1342,5.0767,498.309,0.20152,9.4998,48.3389,2.6189,0.37917,5.576,7.6034,568.2231,0.50197,,0.19053,1.274,79.6208,9779.2816,80.2553,0.15389,5.0195,0.076944,7.2601,19.0874,29.8386,5.8368,7.264,111.2807,8.54,2.3563,39.8709,0.48731,0.16488,21.2548,37.4088,213.7335,6.4719,6.9007,0.60456,17.7948,8.1087,0.5899,,0.9673,51.1457,356.9126,0.70513,0.8757,5.6298,0.44701,8.2545,813.693,14.3821,,91.3926,0.57847,0.27114,2.4801,11.5766,2.4219,0.24549,1.9602,2.2642,9.2183,42.7421,46.7575,3.4909,1962.5943,515.9542,588.3648,153.6567,38.2272,74.7848,403.6969,7.9128,1306.1825,23.8146,243.9219,11.9673,0.051296,7.8739,101.7661,9.9984,3.398,7.5194,22.332,3.0924,0.96265,55.2788,0.18533,14.3495,10.8675,1.2981,2.7442,1.1321,213.2878,1.1102,2.4366,2.7262,0.13557,2.2735,2.4476,3.9644,501.5689,0.12458,4.7657,34.9999,2.2131,0.040304,56.9535,3.0547,11.8221,3.3551,0.043968,5.4703,164.6888,3.6379,35.9451,4.5498,1.8538,109.0659,0.007328,37.5651,8.735,44.3,2.2017,62.7135,154.8856,0.2235,9.7681,5.0686,5.1733,45.5087,88.6286,326.7349,49.9597,93.8228,1.33,90.2392,1694.5764,0.71846,4.4415,0.010992,0.21984,0.49098,0.065952,0.23083,0.18686,0.11725,566.8255,7.3621,43.7442,0.42502,0.83173,48.3282,35.9104,15.7605,0.34808,0.60822,458.9542,627.943,279.385,15.7981,15.2134,2.1843,1.1688,46.9186,42.253,47.8031,272.756,2.9334,9.0598,276.8768,0.57158,2.2156,0.10626,46.1759,27.136,355.8826,69.1371,0.28213,0.010992,3.627,303.9762,201.3724,487.4768,5345.4543,8.5918,118.8547,0.11358,175.7228,144.373,0.025648,,20.3558,4.1658,11.2538
2013,9.2505,5.2875,140.7864,0.47632,24.7186,0.11725,0.46166,189.5377,5.535,0.86104,397.8875,67.7594,33.5552,2.704,31.1577,61.799,1.4372,64.1256,102.6664,0.43968,4.566,0.53494,0.85278,18.9891,0.084272,21.801,5.6631,532.418,0.20152,7.6261,42.6786,2.8638,0.398,5.6367,7.8495,572.6133,0.49464,,0.11725,1.4849,81.7368,9956.3083,88.1047,0.1832,5.8923,0.076944,7.6315,18.4322,28.1249,5.5033,6.584,106.7114,9.6798,3.5375,41.773,0.55669,0.16854,21.267,39.655,211.4189,6.0945,8.1962,0.62081,19.6979,9.781,0.64853,,1.0369,51.7038,358.6233,0.6926,0.87936,5.9268,0.42502,8.0126,831.2077,14.3399,,81.7133,0.56122,0.30411,2.436,12.8117,2.1105,0.24549,1.9053,2.7062,9.3649,44.3069,43.6116,3.4801,2037.4155,489.0551,597.9524,164.8509,37.2817,63.0953,369.6797,8.4922,1315.5687,23.8182,251.4527,12.9057,0.051296,8.0058,83.7233,9.6583,4.2612,7.3684,22.1634,2.334,0.87426,43.4584,0.19254,13.356,10.3254,1.211,3.2076,1.1631,242.1663,1.0919,2.7434,2.3792,0.13923,2.233,2.1689,4.067,495.4852,0.13557,4.8994,43.478,2.1508,0.047632,56.6064,3.5818,12.7221,2.5677,0.047632,6.2178,164.6745,3.8487,35.241,4.6054,2.0705,116.3604,0.007328,27.0136,7.7713,44.586,2.4373,65.2514,151.5246,0.22717,10.5133,5.4296,5.1721,43.0239,96.0359,322.6512,48.1635,83.9896,1.4436,78.9295,1632.7164,0.78227,4.3626,0.010992,0.2235,0.48731,0.065952,0.21984,0.19419,0.12091,544.5636,7.8527,44.5691,0.41403,1.0076,50.882,35.5656,15.1333,0.37373,0.63021,458.6282,634.5807,253.1027,14.6791,17.0079,2.8396,1.3996,45.3513,43.1877,34.0136,273.797,2.9069,9.9105,290.3645,0.53128,1.6426,0.11358,45.8237,27.5806,347.1527,70.6088,0.28579,0.010992,3.7545,297.2512,205.758,477.6113,5480.9261,7.4924,112.282,0.10626,198.427,151.5183,0.021984,,27.1604,4.4162,11.6714
2014,9.1703,5.9997,151.2828,0.46166,25.1476,0.13923,0.46166,188.3965,5.6041,0.87203,393.9529,64.16,34.3484,2.4292,30.8997,66.009,1.3017,63.6489,96.887,0.46899,4.796,0.67051,0.94848,20.6757,0.084272,19.3118,6.8502,557.901,0.21251,8.831,45.2663,2.9115,0.3752,6.8343,8.7715,569.8397,0.48731,,0.12458,1.8567,77.5899,9998.6213,97.8581,0.16122,5.4696,0.076944,7.7483,17.6816,27.6083,6.4083,6.9521,104.2288,9.9032,4.6309,37.5777,0.38831,0.17587,21.8006,43.7314,226.8993,6.1512,7.6722,0.6314,18.8604,12.0165,0.59723,,1.1798,47.5958,327.1073,0.68967,0.85005,6.3694,0.50563,8.9387,792.2554,14.9752,,78.6396,0.52084,0.2345,2.4257,13.8271,2.1654,0.26014,1.972,2.7046,9.4812,45.4918,43.7298,3.4364,2187.343,487.89,632.6733,166.9053,36.853,60.2823,349.3904,7.6975,1264.4133,25.8988,297.6435,13.8815,0.058624,7.1265,75.6235,10.0954,4.4497,7.172,23.992,2.4732,1.1879,60.6021,0.16126,13.1081,9.8282,1.5185,3.1579,1.0206,245.3287,1.3154,3.099,2.3644,0.1429,2.2236,2.5664,4.2063,484.1137,0.13557,4.7588,29.6261,2.1068,0.047632,57.1749,7.9206,15.8493,3.678,0.051296,7.5913,157.6556,4.8733,35.4389,4.7451,2.2456,122.9959,0.010992,30.5436,7.4599,45.046,2.8366,65.8966,156.5293,0.21984,10.8554,6.5975,5.4582,49.3883,101.4836,310.3191,47.9458,91.5488,1.5242,78.4535,1631.6622,0.82716,4.3441,0.010992,0.23083,0.48365,0.065952,0.25282,0.20152,0.11725,612.8419,8.7244,37.208,0.458,1.1102,52.2523,33.6562,13.5682,0.32976,0.63021,471.866,629.3665,255.4591,17.691,17.5356,2.8855,0.76944,43.4779,39.2336,30.9211,276.311,4.6001,9.8982,285.98,0.56792,1.5419,0.11358,46.8917,28.6681,363.8663,71.7761,0.30778,0.007328,4.0897,257.5108,201.7134,438.8071,5528.8713,6.6843,107.3995,0.15389,175.9613,183.825,0.021984,,26.4766,4.8766,11.9461
2015,9.7911,4.7121,160.0875,0.46533,25.531,0.15389,0.47998,191.7438,5.4693,0.89768,401.7931,66.3488,34.6829,2.1361,32.4596,73.1576,1.3053,58.7989,101.0617,0.6412,5.3289,0.53861,0.96504,21.2422,0.095264,18.4605,5.4212,529.353,0.21251,6.9333,48.2605,3.715,0.39416,8.3656,9.8507,574.2982,0.49098,,0.17954,1.6849,81.7565,9866.9043,95.4723,0.17954,5.6623,0.076944,7.406,17.8247,29.4686,6.925,6.973,104.9957,9.5547,2.7927,35.228,0.43164,0.17587,23.4946,41.2757,224.4797,6.6678,7.0335,0.63123,15.8469,12.6964,0.60822,,1.2421,44.0991,331.58,0.70036,0.84638,6.4756,0.58258,9.7562,795.5566,16.0262,,74.9276,0.52382,0.26014,2.4633,15.9519,2.4512,0.27846,2.0033,2.6607,10.348,42.3999,46.6535,3.5339,2270.7662,539.1492,631.5812,168.2144,38.718,62.9391,361.1632,7.9989,1223.6052,25.5572,301.2732,16.2955,0.05496,8.3356,92.4478,10.2789,9.2293,7.2621,25.7346,2.2424,1.2033,54.5507,0.15977,13.3197,9.3475,1.9987,3.2275,1.0713,235.7019,1.3117,3.2706,1.6653,0.1429,2.2581,3.0025,4.2099,479.5198,0.1429,4.7818,23.2823,2.2387,0.05496,58.4952,6.3129,21.8871,3.8513,0.05496,6.9047,164.1425,4.7364,35.8131,5.431,2.2072,109.2318,0.007328,24.6235,7.0202,45.59,3.0057,67.3762,166.4108,0.20518,10.7884,6.503,6.0476,49.2279,112.4492,313.4557,52.2703,91.3274,1.9126,77.9963,1629.7132,0.97019,4.4115,0.010992,0.2345,0.47998,0.065952,0.2345,0.22717,0.12091,678.8493,9.8454,43.7774,0.4983,1.0446,56.4659,34.4682,13.6533,0.29312,0.63021,446.221,634.1773,272.1647,19.8303,21.1895,2.4092,0.86837,43.7417,38.7318,28.5851,275.836,5.3023,10.6352,289.4198,0.5496,1.8633,0.11725,45.5597,30.2659,384.3305,73.6953,0.31144,0.007328,4.5256,223.8241,216.3771,422.4608,5376.5779,6.742,103.6959,0.1319,165.8531,217.7288,0.021984,,14.0835,5.065,12.255
2016,9.0676,4.632,158.7484,0.46899,27.2097,0.15389,0.49098,189.9204,5.203,0.88302,411.2643,67.2107,34.7273,1.9786,31.5595,76.1935,1.3237,58.1345,99.6016,0.62288,6.494,0.61922,1.1526,22.6829,0.10259,21.7304,6.3482,492.748,0.21251,7.6329,45.4843,3.904,0.46744,10.9217,9.9425,560.5253,0.53861,,0.19786,2.0154,84.2432,9764.9797,98.731,0.21618,5.8099,0.07328,8.0033,18.109,28.2595,5.8001,7.3754,106.6557,11.9828,2.0141,37.0333,0.38013,0.17954,24.6446,40.1778,239.3856,6.5958,7.5604,0.64542,17.5594,14.3474,0.63021,,1.1761,47.1819,334.4398,0.71633,0.86837,6.5217,0.5899,10.0677,800.3398,15.5624,,71.3642,0.52492,0.26747,2.5195,16.9265,2.7412,0.30411,2.3451,2.9795,9.7223,43.3658,47.1131,3.4852,2383.816,552.6515,633.8269,194.0109,40.3695,61.1607,358.1825,8.1634,1203.8882,24.2547,304.8395,17.3906,0.05496,8.8559,101.8971,9.6462,16.4581,7.2103,26.4572,2.2131,1.3538,51.6494,0.14984,13.3512,9.0892,1.7807,3.2678,1.1944,252.0607,1.4363,3.337,1.3564,0.1429,2.3095,2.6271,4.3455,479.7898,0.1429,4.9037,25.6291,2.0152,0.029312,58.4575,8.1594,21.1404,4.0512,0.051296,9.7608,164.862,5.3152,34.1526,5.4061,2.1467,116.9502,0.007328,27.5719,6.9872,44.765,3.2336,65.6694,195.7915,0.21251,10.4389,6.8117,7.1536,52.8136,122.558,324.3812,50.4422,87.5447,1.7038,77.0115,1624.7563,1.0689,4.512,0.014656,0.23816,0.48731,0.065952,0.24182,0.23816,0.12458,642.8598,10.0157,45.0398,0.55326,1.1505,35.6544,34.9129,14.4646,0.28946,0.63754,456.9729,637.9141,261.2277,23.0236,20.0377,2.3492,1.0552,43.416,39.1853,29.0025,279.705,6.4366,10.8694,288.5117,0.5899,2.312,0.12458,39.8931,29.8801,405.3045,73.4637,0.32976,0.007328,4.7888,234.0085,212.3443,399.4301,5251.7576,6.5212,110.1391,0.14656,152.3853,226.0998,0.025648,,10.9015,5.8574,10.5335
2017,9.868,5.5641,166.4114,0.46533,24.3041,0.1429,0.49098,186.8989,5.5402,0.89035,414.3583,69.5928,34.607,2.0958,32.8352,80.7312,1.2064,59.2623,99.1263,0.61555,6.8042,0.63021,1.2392,23.4793,0.10259,22.1562,7.0773,497.4127,0.16854,9.3094,47.5698,4.519,0.5304,12.5048,9.5936,571.5446,0.57891,,0.21618,1.978,84.0746,10011.1071,79.6876,0.26747,5.7023,0.080608,8.198,18.744,25.2186,4.5947,7.5254,107.7477,12.0019,2.4739,34.7803,0.39176,0.16122,24.0169,40.0755,260.1106,5.9697,7.8621,0.70425,18.7625,15.5486,0.70715,,1.308,44.5778,337.4575,0.70682,0.86104,6.2858,0.59357,10.1725,785.6165,13.9434,,74.8451,0.542,0.27846,2.486,17.3205,3.239,0.30411,2.3195,3.1004,10.2315,42.4312,49.5152,3.6016,2434.8679,567.2548,685.4013,211.7113,39.078,58.8416,352.7354,7.7975,1188.3589,25.4286,320.7914,17.0184,0.065952,8.0938,95.9378,9.3481,19.6838,7.2149,27.8463,2.5135,1.228,53.437,0.15577,13.5718,9.2612,1.9273,4.1189,1.3603,248.2025,1.5132,3.5499,1.5309,0.14656,2.2789,3.4199,4.536,465.621,0.1429,5.2205,34.1354,2.1031,0.029312,61.4721,6.9493,23.6301,4.2162,0.05496,11.6475,162.494,5.3452,35.6881,5.4613,2.2516,112.7768,0.007328,51.7358,7.5039,44.242,3.2683,68.6197,216.1584,0.21618,11.2232,6.4696,8.0687,53.7304,135.1501,337.735,55.2102,100.18,1.4546,80.0429,1654.154,1.1677,4.4521,0.010992,0.24182,0.50563,0.065952,0.21618,0.24549,0.12824,643.6386,10.7601,45.5296,0.57525,1.0552,37.1566,36.1127,14.622,0.28579,0.63754,439.3801,654.5373,275.0532,23.0305,22.4316,2.1113,0.98562,42.7042,38.1786,32.6133,284.821,7.8583,11.403,293.0742,0.63387,2.1599,0.13557,40.3179,30.486,430.2204,73.3587,0.35174,0.007328,5.3769,223.0871,214.156,387.3671,5210.9576,6.1626,108.9308,0.13923,140.385,233.0408,0.025648,,10.5886,6.8429,9.5961
2018,10.818,4.984,173.9116,0.49464,22.7795,0.1429,0.4983,180.5993,5.8258,0.87203,416.2838,66.5572,34.5758,2.7004,32.7871,82.4937,1.2868,62.0943,99.8736,0.60456,7.4345,0.70349,1.3494,23.799,0.098928,22.075,7.5043,477.1021,0.16122,9.3444,43.6161,4.9479,0.68383,14.3882,9.6339,584.3691,0.58258,,0.21984,2.0068,84.4687,10353.877,82.4268,0.29312,6.5962,0.080608,8.2295,17.7242,22.6312,3.9791,7.3425,106.338,10.3524,2.472,34.725,0.38485,0.16122,25.7562,38.2451,243.9079,6.4096,6.0085,0.83031,17.9351,15.808,0.72547,,1.3555,45.7965,322.5268,0.70273,0.8757,5.992,0.59357,10.0625,754.4084,17.105,,71.782,0.54802,0.30778,2.4717,18.6908,3.686,0.31144,2.481,3.3714,9.8613,42.6006,49.4633,3.659,2600.4465,603.6571,700.9376,213.4311,39.0124,60.2569,349.005,8.0864,1143.4119,24.9596,331.8207,18.1692,0.065952,8.1487,97.0454,11.1045,20.5581,7.8594,26.2029,2.3706,1.0816,54.0158,0.14295,13.6913,9.5667,1.2421,3.8223,1.5702,267.0869,1.7404,3.6746,1.5469,0.14656,2.2657,3.6643,4.514,475.2689,0.1429,5.4454,45.3156,2.3999,0.029312,63.01,7.0798,34.7835,4.1549,0.05496,14.8332,158.6278,5.3456,35.7045,5.1992,1.7927,105.2304,0.010992,47.6299,7.0312,44.393,2.9591,72.5558,205.0609,0.21251,10.7676,7.5225,8.5082,55.1631,141.8241,337.0485,51.4591,95.2319,1.4986,80.5162,1700.4528,1.2813,4.4264,0.010992,0.24549,0.5093,0.058624,0.24182,0.23816,0.1319,626.1911,11.3304,44.3204,0.6009,1.0369,46.0198,36.103,14.5267,0.28946,0.63754,435.2372,670.1687,270.0523,20.9945,21.8643,1.8695,1.0332,42.0949,36.8738,30.2299,282.843,9.1083,11.7871,282.1054,0.63387,2.2079,0.13557,40.3279,29.9969,422.5689,73.252,0.36274,0.007328,5.6308,231.6747,210.2184,379.7298,5376.6572,6.571,116.4641,0.17587,102.6719,274.2231,0.025648,,10.4742,7.412,11.7955
2019,11.0816,4.9475,179.5048,0.47998,21.818,0.15389,0.4983,178.5116,6.2841,0.91234,416.3566,67.9362,37.7379,2.5355,37.8137,91.6574,1.1771,62.0395,99.4326,0.70715,7.1441,0.58258,1.4471,23.2393,0.10992,20.8104,6.7821,475.1046,0.16854,10.4875,42.2558,5.2963,0.71789,18.0246,9.5049,584.7142,0.61189,,0.22717,1.9223,91.9619,10740.9961,96.4382,0.31144,7.3415,0.084272,8.0536,17.8574,22.8422,1.9602,7.3432,101.013,10.5351,2.6055,30.9554,0.3926,0.16854,28.3576,40.2645,256.1402,7.4229,4.638,0.8555,12.3802,18.2978,0.74013,,1.3592,42.3818,316.3868,0.71991,0.8757,5.7353,0.6009,10.9202,707.1499,18.7065,,65.7562,0.55364,0.32976,2.5321,19.7615,4.4339,0.32243,2.7301,3.0527,11.2321,41.9002,49.2346,3.5463,2626.4595,659.4357,702.9581,187.1484,37.3257,58.6452,339.2332,7.8234,1106.0155,26.328,297.5695,19.1772,0.065952,8.4968,104.3606,9.0303,19.5962,7.6487,26.4003,2.3889,1.1064,69.2435,0.14903,13.9233,9.7517,1.2128,4.299,1.593,269.1557,1.9529,3.8536,1.6492,0.14656,2.3211,3.7739,4.5214,472.1915,0.14656,5.4907,47.2545,2.4769,0.021984,68.6075,7.1468,34.6091,4.107,0.05496,13.4283,153.0328,5.1187,37.121,5.2193,2.4686,127.3042,0.010992,52.7642,7.9948,42.784,3.2654,72.1772,206.0612,0.21984,13.4195,7.8795,8.2444,57.6799,145.2318,318.4877,47.6188,101.1523,1.6525,77.0306,1692.3634,1.8121,4.5346,0.014656,0.25282,0.51662,0.065952,0.22717,0.27114,0.1319,656.4814,12.7615,44.3445,0.59357,1.1908,29.9166,33.7762,14.0481,0.29312,0.63754,466.9242,646.1023,251.8251,22.2201,21.952,2.6829,1.1212,40.9825,36.7331,27.479,273.515,9.8322,13.0435,290.2392,0.68517,2.205,0.16122,40.7682,29.7044,401.7197,74.7616,0.36274,0.007328,6.0118,222.0567,208.4957,364.7533,5259.1438,6.4899,118.7979,0.16122,89.1111,341.005,0.025648,,12.6838,7.7472,11.1146
2020,11.6818,4.7286,172.5045,0.44888,20.2757,0.13139,0.42545,169.2627,6.4307,0.77895,399.9221,62.0374,37.508,2.1667,37.6027,90.8253,1.0216,58.592,90.368,0.61467,7.2638,0.4974,1.4997,21.0676,0.09385,20.9329,6.2586,442.306,0.1439,10.5532,36.9671,5.389,0.65713,18.7033,9.0073,534.8638,0.62508,,0.21424,1.8022,83.8338,10956.2134,85.5256,0.28249,7.5299,0.088942,7.0817,16.8705,19.7322,1.6737,7.2696,91.8539,10.9638,2.4829,28.282,0.36331,0.1439,26.3798,34.4575,235.8198,6.501,4.9891,0.78314,9.343,17.0408,0.69217,,1.4308,37.5959,280.0315,0.65138,0.92422,5.6928,0.61385,10.6906,639.381,19.6544,,55.6103,0.50048,0.28596,2.2911,17.5956,4.5328,0.32938,3.191,2.6177,9.8442,31.5048,47.2845,3.3289,2445.0119,609.7861,729.9779,173.507,35.1532,55.0081,302.2786,6.9435,1042.224,24.9422,278.4046,18.2758,0.069607,8.5218,99.7788,8.4887,20.4878,6.9941,24.4751,2.188,1.1274,58.5651,0.142,13.6532,8.0965,1.2718,4.0006,1.4716,259.4814,2.0611,3.9284,1.5996,0.15468,2.1001,3.8553,4.2084,391.7062,0.15468,5.2503,49.6052,2.4513,0.01877,64.7203,6.6694,36.0889,3.9451,0.058006,13.9445,137.8495,5.3866,34.4568,4.557,2.4914,130.1768,0.011601,55.3365,6.6495,41.196,3.0172,72.5062,210.3839,0.23202,11.6564,8.3251,8.0333,47.4891,135.6617,303.5231,41.7999,92.8607,1.4988,74.138,1624.2214,1.6619,4.103,0.012513,0.21585,0.44109,0.05631,0.19396,0.28616,0.1244,661.193,12.7439,44.5492,0.53838,1.2165,29.9095,31.0947,12.8662,0.30936,0.57826,435.8319,597.6342,213.3397,21.7037,20.0355,2.6076,1.06,36.5151,34.241,26.1598,264.2672,9.434,12.2942,277.3684,0.71867,2.2437,0.17015,35.7562,27.5783,413.4331,72.0359,0.3097,0.0077341,5.507,206.9412,199.0844,326.2632,4715.6911,6.2966,118.2397,0.17015,76.4675,328.8997,0.027069,,12.1401,7.2807,10.6079
